Proactivity_Conscientiousness,Proactivity_Damage control,Proactivity_Thoroughness,Proactivity_Emotional intelligence,Proactivity_Identity,Proactivity_Personality,Conscientiousness_Damage control,Conscientiousness_Thoroughness,Conscientiousness_Emotional intelligence,Conscientiousness_Identity,Conscientiousness_Personality,Damage control_Thoroughness,Damage control_Emotional intelligence,Damage control_Identity,Damage control_Personality,Thoroughness_Emotional intelligence,Thoroughness_Identity,Thoroughness_Personality,Emotional intelligence_Identity,Emotional intelligence_Personality,Identity_Personality
9,9,1,7,9,9,-7,7,7,7,7,7,9,9,9,9,9,9,-9,-9,-7
-3,3,-1,3,5,3,3,5,3,5,3,1,3,5,3,1,1,3,-3,-5,1
-9,-9,-9,-9,-9,9,9,9,-9,9,9,9,-9,9,9,-9,9,9,-9,-9,9
-7,-9,-9,5,7,7,-9,-9,7,5,7,9,9,9,9,7,7,7,-5,-5,7
-7,7,7,1,7,7,5,-7,7,9,7,-7,7,9,9,3,7,7,-7,-7,-1
3,3,3,3,5,5,-3,-3,3,-7,3,7,7,5,7,-3,1,1,-1,-1,1
5,3,-3,5,-3,-5,-5,3,7,5,7,9,1,3,7,1,5,5,-7,-5,3
-5,-7,3,3,5,-5,-3,5,3,5,3,5,5,5,5,3,-3,-3,-3,-3,-3
7,-7,-5,5,-3,-7,-5,-9,-9,9,9,5,9,-5,5,-5,-5,-9,-7,-7,-5
5,5,5,7,5,7,5,5,7,-5,5,7,5,7,5,5,7,5,-7,-5,5
3,3,7,7,9,9,1,7,7,9,9,5,7,9,9,-7,3,3,-7,-7,-1
-7,-7,7,7,7,9,5,7,9,9,9,7,7,7,7,-5,7,7,-5,-5,1
-5,5,-7,7,7,7,7,7,7,7,7,-7,-7,-7,-5,7,7,7,-5,-7,-7
5,5,7,-7,7,7,7,5,7,-5,7,7,7,-7,-7,-7,-7,7,-7,-7,5
-3,-1,3,-1,5,5,-1,1,3,3,5,3,1,3,3,-1,3,3,-3,-5,3
7,-9,-7,-5,-7,-5,-7,-7,7,-7,-7,9,9,9,7,7,7,7,-5,-7,7
-7,7,-7,7,7,7,9,9,9,9,9,-7,3,3,3,9,9,9,-1,-1,1
-7,7,-9,7,7,-9,7,-9,7,9,7,-7,-9,-7,-9,7,-7,-5,-9,-1,1
-5,-3,-9,3,3,5,5,-3,3,3,5,-7,5,5,9,5,7,7,-1,-3,1
-7,7,-9,7,7,-9,7,-9,7,9,7,-7,-9,-7,-9,7,-7,-5,-9,-1,1
-5,7,9,9,9,9,5,7,7,9,9,3,7,9,9,7,9,9,-3,-5,3
-7,5,7,5,7,7,7,5,7,5,5,7,7,5,5,-3,1,-1,-5,-5,-1
-5,5,5,5,7,7,7,9,9,9,9,5,7,9,9,-5,-7,-7,-5,-5,1
5,3,7,7,9,9,5,7,7,9,9,5,7,7,9,-5,3,3,-5,-5,-1
-7,7,-7,7,-5,5,-5,5,-5,-5,5,3,3,3,-5,3,5,5,-3,-3,3
7,7,9,7,9,9,5,7,7,9,9,5,5,7,7,-7,3,3,-5,-5,1
5,5,5,7,7,7,3,5,7,5,7,5,5,7,7,-5,3,3,-5,-5,-3
5,-5,7,3,7,9,-7,-1,3,5,7,7,7,7,9,7,5,7,-3,-5,1
5,7,9,7,9,9,5,7,5,7,7,5,5,7,7,-3,3,3,-5,-5,-1
5,5,9,7,9,9,5,7,7,9,9,5,3,9,7,1,5,5,-5,-5,-5
-3,7,5,7,7,7,5,7,-5,7,5,5,7,7,7,-3,-5,-7,-7,-7,3
-5,-3,7,5,7,7,3,7,7,7,7,5,-3,7,7,-7,3,-5,-5,-5,-5
5,-5,7,5,7,7,-7,5,7,7,7,7,7,7,7,-7,-7,-7,-7,-7,-5
5,-5,7,-7,5,5,-5,7,-7,7,7,7,-7,7,7,-7,-3,-5,-7,-7,5
-3,-5,-5,5,3,-7,-5,5,7,7,7,7,7,5,5,-5,-7,-7,-7,-7,-7
7,7,7,7,9,9,9,7,-5,7,5,5,7,7,7,-7,3,-7,-5,-3,-7
5,7,7,-5,5,-7,-5,5,-7,7,-7,5,-5,5,-9,-3,-7,-9,-7,-7,-5
7,7,7,-7,5,-7,-7,5,-5,7,-7,7,7,7,7,-7,-5,-7,-7,-1,-7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-7,7,-7,-7,-3,-7
-7,5,5,5,5,-5,7,5,3,7,3,7,7,7,7,-7,-3,-7,-7,-7,-7
5,7,-5,1,9,5,7,1,5,7,7,-7,1,5,7,5,7,7,-5,-3,-5
1,3,5,5,5,5,5,5,5,5,5,5,5,7,7,-5,-3,-3,-5,-5,-5
-7,7,7,9,7,7,7,-7,9,9,7,-7,9,7,-7,7,7,7,-7,-7,-5
3,5,7,5,7,7,5,7,7,5,7,3,5,5,3,-5,-3,-5,-5,-5,-5
-5,-5,7,3,7,3,-5,7,5,7,5,9,5,7,5,-5,-3,-5,-7,-3,-5
5,5,7,3,5,5,5,7,7,7,7,-7,7,7,-5,-7,-5,-7,-7,-7,-7
-7,-7,5,5,7,5,5,7,5,9,7,7,5,7,9,-7,3,-5,-7,-3,-5
7,7,7,7,7,7,-7,7,7,7,7,7,3,7,3,-5,-3,-7,-5,-3,-7
5,-3,5,-5,5,-7,-7,5,-7,3,-7,3,5,5,5,-5,-3,-5,-5,-5,-5
-5,5,7,5,5,7,7,5,3,5,5,7,-3,5,7,-7,3,-7,-5,-3,-7
3,5,9,5,9,5,5,7,5,7,5,7,-3,7,3,-5,1,-5,-5,-1,-7
5,-7,7,-7,7,-7,-7,5,-7,5,-7,7,5,7,3,-7,1,-7,-7,-1,-7
-7,1,5,5,9,5,3,9,5,5,7,7,5,7,7,-7,-7,-7,-7,-7,-7
-5,7,7,-7,5,-7,5,7,-3,7,5,5,-3,5,5,-5,-1,-5,-5,-1,-3
5,5,7,7,7,5,5,7,7,7,5,7,3,7,3,-5,3,-7,-7,-3,-5
5,5,3,7,7,7,5,3,7,7,3,5,5,7,5,-5,-3,-5,-5,-3,-3
-3,-7,7,-1,9,9,1,-7,7,7,7,1,7,7,7,7,7,7,-1,-1,1
