Interacted with IBM Chatbot,Age: ,Gender: ,Educational Background,Familiarity with emerging technologies,Frequency of using Chatbots,Overall satisfaction (IBM Chatbot),Proactivity VS. Conscientiousness,Proactivity VS. Conscientiousness (Extent of Importance),Proactivity VS. Damage control,Proactivity VS. Damage control (Extent of Importance),Proactivity VS. Thoroughness,Proactivity VS. Thoroughness (Extent of Importance),Proactivity VS. Emotional intelligence,Proactivity VS. Emotional intelligence (Extent of Importance),Proactivity VS. Identity,Proactivity VS. Identity (Extent of Importance),Proactivity VS. Personality,Proactivity VS. Personality (Extent of Importance),Conscientiousness VS. Damage control,Conscientiousness VS. Damage control (Extent of Importance),Conscientiousness VS. Thoroughness,Conscientiousness VS. Thoroughness (Extent of Importance),Conscientiousness VS. Emotional intelligence,Conscientiousness VS. Emotional intelligence (Extent of Importance),Conscientiousness VS. Identity,Conscientiousness VS. Identity (Extent of Importance),Conscientiousness VS. Personality,Conscientiousness VS. Personality (Extent of Importance),Damage control VS. Thoroughness,Damage control VS. Thoroughness (Extent of Importance),Damage control VS. Emotional intelligence,Damage control VS. Emotional intelligence (Extent of Importance),Damage control VS. Identity,Damage control VS. Identity (Extent of Importance),Damage control VS. Personality,Damage control VS. Personality (Extent of Importance),Thoroughness VS. Emotional intelligence,Thoroughness VS. Emotional intelligence (Extent of Importance),Thoroughness VS. Identity,Thoroughness VS. Identity (Extent of Importance),Thoroughness VS. Personality,Thoroughness VS. Personality (Extent of Importance),Emotional intelligence VS. Identity,Emotional intelligence VS. Identity (Extent of Importance),Emotional intelligence VS. Personality,Emotional intelligence VS. Personality (Extent of Importance),Identity VS. Personality,Identity VS. Personality (Extent of Importance)
Yes,18 - 24 years old,Female,Master's Degree,4,5,3,Proactivity,9,Proactivity,9,Proactivity,1,Proactivity,7,Proactivity,9,Proactivity,9,Damage control,7,Conscientiousness,7,Conscientiousness,7,Conscientiousness,7,Conscientiousness,7,Damage control,7,Damage control,9,Damage control,9,Damage control,9,Thoroughness,9,Thoroughness,9,Thoroughness,9,Emotional Intelligence,9,Emotional Intelligence,9,Personality,7
Yes,18 - 24 years old,Female,Master's Degree,3,4,2,Conscientiousness,3,Proactivity,3,Thoroughness,1,Proactivity,3,Proactivity,5,Proactivity,3,Conscientiousness,3,Conscientiousness,5,Conscientiousness,3,Conscientiousness,5,Conscientiousness,3,Damage control,1,Damage control,3,Damage control,5,Damage control,3,Thoroughness,1,Thoroughness,1,Thoroughness,3,Emotional Intelligence,3,Emotional Intelligence,5,Identity,1
Yes,18 - 24 years old,Male,Bachelor's Degree,3,1,5,Conscientiousness,9,Damage control,9,Thoroughness,9,Emotional Intelligence,9,Identity,9,Proactivity,9,Conscientiousness,9,Conscientiousness,9,Emotional Intelligence,9,Conscientiousness,9,Conscientiousness,9,Damage control,9,Emotional Intelligence,9,Damage control,9,Damage control,9,Emotional Intelligence,9,Thoroughness,9,Thoroughness,9,Emotional Intelligence,9,Emotional Intelligence,9,Identity,9
Yes,18 - 24 years old,Female,Master's Degree,4,5,4,Conscientiousness,7,Damage control,9,Thoroughness,9,Proactivity,5,Proactivity,7,Proactivity,7,Damage control,9,Thoroughness,9,Conscientiousness,7,Conscientiousness,5,Conscientiousness,7,Damage control,9,Damage control,9,Damage control,9,Damage control,9,Thoroughness,7,Thoroughness,7,Thoroughness,7,Emotional Intelligence,5,Emotional Intelligence,5,Identity,7
Yes,25-34 years old,Male,Ph.D. or higher,5,5,2,Conscientiousness,7,Proactivity,7,Proactivity,7,Proactivity,1,Proactivity,7,Proactivity,7,Conscientiousness,5,Thoroughness,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,7,Thoroughness,7,Damage control,7,Damage control,9,Damage control,9,Thoroughness,3,Thoroughness,7,Thoroughness,7,Emotional Intelligence,7,Emotional Intelligence,7,Personality,1
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,5,Proactivity,3,Proactivity,3,Proactivity,3,Proactivity,3,Proactivity,5,Proactivity,5,Damage control,3,Thoroughness,3,Conscientiousness,3,Identity,7,Conscientiousness,3,Damage control,7,Damage control,7,Damage control,5,Damage control,7,Emotional Intelligence,3,Thoroughness,1,Thoroughness,1,Emotional Intelligence,1,Emotional Intelligence,1,Identity,1
Yes,18 - 24 years old,Male,Bachelor's Degree,4,4,2,Proactivity,5,Proactivity,3,Thoroughness,3,Proactivity,5,Identity,3,Personality,5,Damage control,5,Conscientiousness,3,Conscientiousness,7,Conscientiousness,5,Conscientiousness,7,Damage control,9,Damage control,1,Damage control,3,Damage control,7,Thoroughness,1,Thoroughness,5,Thoroughness,5,Emotional Intelligence,7,Personality,5,Identity,3
Yes,18 - 24 years old,Female,Master's Degree,5,4,2,Conscientiousness,5,Damage control,7,Proactivity,3,Proactivity,3,Proactivity,5,Personality,5,Damage control,3,Conscientiousness,5,Conscientiousness,3,Conscientiousness,5,Conscientiousness,3,Damage control,5,Damage control,5,Damage control,5,Damage control,5,Thoroughness,3,Identity,3,Personality,3,Identity,3,Personality,3,Personality,3
Yes,18 - 24 years old,Male,Master's Degree,5,4,4,Proactivity,7,Damage control,7,Thoroughness,5,Proactivity,5,Identity,3,Personality,7,Damage control,5,Thoroughness,9,Emotional Intelligence,9,Conscientiousness,9,Conscientiousness,9,Damage control,5,Damage control,9,Identity,5,Damage control,5,Emotional Intelligence,5,Identity,5,Personality,9,Identity,7,Emotional Intelligence,7,Personality,5
Yes,18 - 24 years old,Female,Master's Degree,3,1,4,Proactivity,5,Proactivity,5,Proactivity,5,Proactivity,7,Proactivity,5,Proactivity,7,Conscientiousness,5,Conscientiousness,5,Conscientiousness,7,Identity,5,Conscientiousness,5,Damage control,7,Damage control,5,Damage control,7,Damage control,5,Thoroughness,5,Thoroughness,7,Thoroughness,5,Emotional Intelligence,7,Emotional Intelligence,5,Identity,5
Yes,Under 18,Male,High School,2,2,2,Proactivity,3,Proactivity,3,Proactivity,7,Proactivity,7,Proactivity,9,Proactivity,9,Conscientiousness,1,Conscientiousness,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Damage control,5,Damage control,7,Damage control,9,Damage control,9,Emotional Intelligence,7,Thoroughness,3,Thoroughness,3,Emotional Intelligence,7,Emotional Intelligence,7,Personality,1
Yes,Under 18,Female,High School,2,2,3,Conscientiousness,7,Damage control,7,Proactivity,7,Proactivity,7,Proactivity,7,Proactivity,9,Conscientiousness,5,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Damage control,7,Damage control,7,Damage control,7,Damage control,7,Emotional Intelligence,5,Thoroughness,7,Thoroughness,7,Emotional Intelligence,5,Emotional Intelligence,5,Identity,1
Yes,18 - 24 years old,Female,Master's Degree,4,3,3,Conscientiousness,5,Proactivity,5,Thoroughness,7,Proactivity,7,Proactivity,7,Proactivity,7,Conscientiousness,7,Conscientiousness,7,Conscientiousness,7,Conscientiousness,7,Conscientiousness,7,Thoroughness,7,Emotional Intelligence,7,Identity,7,Personality,5,Thoroughness,7,Thoroughness,7,Thoroughness,7,Emotional Intelligence,5,Emotional Intelligence,7,Personality,7
Yes,18 - 24 years old,Female,Master's Degree,4,4,3,Proactivity,5,Proactivity,5,Proactivity,7,Emotional Intelligence,7,Proactivity,7,Proactivity,7,Conscientiousness,7,Conscientiousness,5,Conscientiousness,7,Identity,5,Conscientiousness,7,Damage control,7,Damage control,7,Identity,7,Personality,7,Emotional Intelligence,7,Identity,7,Thoroughness,7,Emotional Intelligence,7,Emotional Intelligence,7,Identity,5
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,4,Conscientiousness,3,Damage control,1,Proactivity,3,Emotional Intelligence,1,Proactivity,5,Proactivity,5,Damage control,1,Conscientiousness,1,Conscientiousness,3,Conscientiousness,3,Conscientiousness,5,Damage control,3,Damage control,1,Damage control,3,Damage control,3,Emotional Intelligence,1,Thoroughness,3,Thoroughness,3,Emotional Intelligence,3,Emotional Intelligence,5,Identity,3
Yes,Under 18,Female,High School,1,1,2,Proactivity,7,Damage control,9,Thoroughness,7,Emotional Intelligence,5,Identity,7,Personality,5,Damage control,7,Thoroughness,7,Conscientiousness,7,Identity,7,Personality,7,Damage control,9,Damage control,9,Damage control,9,Damage control,7,Thoroughness,7,Thoroughness,7,Thoroughness,7,Identity,5,Personality,7,Identity,7
Yes,18 - 24 years old,Female,Master's Degree,4,2,3,Conscientiousness,7,Proactivity,7,Thoroughness,7,Proactivity,7,Proactivity,7,Proactivity,7,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Thoroughness,7,Damage control,3,Damage control,3,Damage control,3,Thoroughness,9,Thoroughness,9,Thoroughness,9,Identity,1,Emotional Intelligence,1,Identity,1
Yes,18 - 24 years old,Male,Bachelor's Degree,1,1,3,Conscientiousness,7,Proactivity,7,Thoroughness,9,Proactivity,7,Proactivity,7,Personality,9,Conscientiousness,7,Thoroughness,9,Conscientiousness,7,Conscientiousness,9,Conscientiousness,7,Thoroughness,7,Emotional Intelligence,9,Identity,7,Personality,9,Thoroughness,7,Identity,7,Personality,5,Identity,9,Emotional Intelligence,1,Identity,1
Yes,18 - 24 years old,Male,Master's Degree,4,5,3,Conscientiousness,5,Damage control,3,Thoroughness,9,Proactivity,3,Proactivity,3,Proactivity,5,Conscientiousness,5,Thoroughness,3,Conscientiousness,3,Conscientiousness,3,Conscientiousness,5,Thoroughness,7,Damage control,5,Damage control,5,Damage control,9,Thoroughness,5,Thoroughness,7,Thoroughness,7,Emotional Intelligence,1,Emotional Intelligence,3,Identity,1
Yes,Under 18,Male,Bachelor's Degree,1,1,3,Conscientiousness,7,Proactivity,7,Thoroughness,9,Proactivity,7,Proactivity,7,Personality,9,Conscientiousness,7,Thoroughness,9,Conscientiousness,7,Conscientiousness,9,Conscientiousness,7,Thoroughness,7,Emotional Intelligence,9,Identity,7,Personality,9,Thoroughness,7,Identity,7,Personality,5,Identity,9,Emotional Intelligence,1,Identity,1
Yes,18 - 24 years old,Female,Bachelor's Degree,4,2,4,Conscientiousness,5,Proactivity,7,Proactivity,9,Proactivity,9,Proactivity,9,Proactivity,9,Conscientiousness,5,Conscientiousness,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Damage control,3,Damage control,7,Damage control,9,Damage control,9,Thoroughness,7,Thoroughness,9,Thoroughness,9,Emotional Intelligence,3,Emotional Intelligence,5,Identity,3
Yes,Under 18,Female,High School,3,3,4,Conscientiousness,7,Proactivity,5,Proactivity,7,Proactivity,5,Proactivity,7,Proactivity,7,Conscientiousness,7,Conscientiousness,5,Conscientiousness,7,Conscientiousness,5,Conscientiousness,5,Damage control,7,Damage control,7,Damage control,5,Damage control,5,Emotional Intelligence,3,Thoroughness,1,Personality,1,Emotional Intelligence,5,Emotional Intelligence,5,Personality,1
Yes,25-34 years old,Female,Ph.D. or higher,4,4,3,Conscientiousness,5,Proactivity,5,Proactivity,5,Proactivity,5,Proactivity,7,Proactivity,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Conscientiousness,9,Damage control,5,Damage control,7,Damage control,9,Damage control,9,Emotional Intelligence,5,Identity,7,Personality,7,Emotional Intelligence,5,Emotional Intelligence,5,Identity,1
Yes,35-44 years old,Female,Bachelor's Degree,2,1,4,Proactivity,5,Proactivity,3,Proactivity,7,Proactivity,7,Proactivity,9,Proactivity,9,Conscientiousness,5,Conscientiousness,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Damage control,5,Damage control,7,Damage control,7,Damage control,9,Emotional Intelligence,5,Thoroughness,3,Thoroughness,3,Emotional Intelligence,5,Emotional Intelligence,5,Personality,1
Yes,18 - 24 years old,Female,Master's Degree,4,4,3,Conscientiousness,7,Proactivity,7,Thoroughness,7,Proactivity,7,Identity,5,Proactivity,5,Damage control,5,Conscientiousness,5,Emotional Intelligence,5,Identity,5,Conscientiousness,5,Damage control,3,Damage control,3,Damage control,3,Personality,5,Thoroughness,3,Thoroughness,5,Thoroughness,5,Emotional Intelligence,3,Emotional Intelligence,3,Identity,3
Yes,18 - 24 years old,Male,Ph.D. or higher,4,4,3,Proactivity,7,Proactivity,7,Proactivity,9,Proactivity,7,Proactivity,9,Proactivity,9,Conscientiousness,5,Conscientiousness,7,Conscientiousness,7,Conscientiousness,9,Conscientiousness,9,Damage control,5,Damage control,5,Damage control,7,Damage control,7,Emotional Intelligence,7,Thoroughness,3,Thoroughness,3,Emotional Intelligence,5,Emotional Intelligence,5,Identity,1
