interact,age,gender,edu,fam,freq,sat
Yes,18 - 24 years old,Female,Master's Degree,4,5,3
Yes,18 - 24 years old,Female,Master's Degree,3,4,2
Yes,18 - 24 years old,Male,Bachelor's Degree,3,1,5
Yes,18 - 24 years old,Female,Master's Degree,4,5,4
Yes,25-34 years old,Male,Ph.D. or higher,5,5,2
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,5
Yes,18 - 24 years old,Male,Bachelor's Degree,4,4,2
Yes,18 - 24 years old,Female,Master's Degree,5,4,2
Yes,18 - 24 years old,Male,Master's Degree,5,4,4
Yes,18 - 24 years old,Female,Master's Degree,3,1,4
Yes,Under 18,Male,High School,2,2,2
Yes,Under 18,Female,High School,2,2,3
Yes,18 - 24 years old,Female,Master's Degree,4,3,3
Yes,18 - 24 years old,Female,Master's Degree,4,4,3
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,4
Yes,Under 18,Female,High School,1,1,2
Yes,18 - 24 years old,Female,Master's Degree,4,2,3
Yes,18 - 24 years old,Male,Bachelor's Degree,1,1,3
Yes,18 - 24 years old,Male,Master's Degree,4,5,3
Yes,Under 18,Male,Bachelor's Degree,1,1,3
Yes,18 - 24 years old,Female,Bachelor's Degree,4,2,4
Yes,Under 18,Female,High School,3,3,4
Yes,25-34 years old,Female,Ph.D. or higher,4,4,3
Yes,35-44 years old,Female,Bachelor's Degree,2,1,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,3
Yes,18 - 24 years old,Male,Ph.D. or higher,4,4,3
Yes,35-44 years old,Male,Bachelor's Degree,2,1,4
Yes,18 - 24 years old,Male,Master's Degree,4,3,2
Yes,35-44 years old,Female,Bachelor's Degree,2,2,4
Yes,18 - 24 years old,Male,Master's Degree,4,5,3
Yes,Under 18,Male,High School,3,1,4
Yes,18 - 24 years old,Male,Master's Degree,4,4,2
Yes,18 - 24 years old,Male,Master's Degree,4,5,2
Yes,18 - 24 years old,Male,Master's Degree,3,4,4
Yes,18 - 24 years old,Male,Bachelor's Degree,3,3,3
Yes,18 - 24 years old,Male,Master's Degree,3,4,3
Yes,18 - 24 years old,Female,Master's Degree,4,4,2
Yes,18 - 24 years old,Male,Master's Degree,4,4,4
Yes,18 - 24 years old,Male,Bachelor's Degree,2,3,3
Yes,18 - 24 years old,Female,Master's Degree,4,4,2
Yes,18 - 24 years old,Female,Master's Degree,4,4,3
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,4
Yes,25-34 years old,Male,Master's Degree,5,3,3
Yes,25-34 years old,Female,Master's Degree,4,4,4
Yes,25-34 years old,Male,Master's Degree,3,4,3
Yes,25-34 years old,Male,Bachelor's Degree,4,3,4
Yes,18 - 24 years old,Female,Master's Degree,4,3,4
Yes,18 - 24 years old,Male,Master's Degree,4,4,4
Yes,Under 18,Male,High School,2,2,5
Yes,Under 18,Female,Bachelor's Degree,2,3,4
Yes,18 - 24 years old,Female,Master's Degree,3,5,3
Yes,25-34 years old,Male,Master's Degree,3,3,3
Yes,18 - 24 years old,Male,Ph.D. or higher,4,5,2
Yes,25-34 years old,Female,Bachelor's Degree,2,5,3
Yes,18 - 24 years old,Female,Bachelor's Degree,4,3,2
Yes,25-34 years old,Male,Bachelor's Degree,2,2,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,4
Yes,18 - 24 years old,Female,Master's Degree,4,5,4
Yes,18 - 24 years old,Female,Bachelor's Degree,4,5,4
Yes,18 - 24 years old,Female,Master's Degree,5,5,2
Yes,18 - 24 years old,Female,Master's Degree,2,3,3
Yes,18 - 24 years old,Female,Bachelor's Degree,3,2,3
Yes,18 - 24 years old,Female,Master's Degree,1,1,1
Yes,18 - 24 years old,Male,Master's Degree,1,1,3
Yes,18 - 24 years old,Female,Master's Degree,5,4,4
Yes,18 - 24 years old,Male,Master's Degree,4,5,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,4
Yes,18 - 24 years old,Male,Bachelor's Degree,3,3,4
Yes,25-34 years old,Male,Bachelor's Degree,3,3,2
Yes,18 - 24 years old,Male,Master's Degree,4,4,3
Yes,25-34 years old,Female,Bachelor's Degree,4,2,2
Yes,18 - 24 years old,Female,Bachelor's Degree,1,1,4
Yes,18 - 24 years old,Male,Master's Degree,4,5,4
Yes,25-34 years old,Male,Master's Degree,4,3,4
Yes,25-34 years old,Male,Master's Degree,3,4,4
Yes,18 - 24 years old,Male,Master's Degree,4,4,4
Yes,18 - 24 years old,Male,Master's Degree,3,3,3
Yes,25-34 years old,Male,Master's Degree,3,2,3
Yes,18 - 24 years old,Female,Bachelor's Degree,2,3,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,3
Yes,Under 18,Male,High School,4,3,4
Yes,25-34 years old,Female,Master's Degree,4,3,3
Yes,25-34 years old,Female,Master's Degree,3,3,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,3
Yes,25-34 years old,Female,Bachelor's Degree,4,3,4
Yes,25-34 years old,Female,Bachelor's Degree,4,3,4
Yes,25-34 years old,Female,Master's Degree,4,3,4
Yes,25-34 years old,Female,Master's Degree,4,2,3
Yes,18 - 24 years old,Male,Bachelor's Degree,3,2,4
Yes,25-34 years old,Female,Master's Degree,4,3,3
Yes,25-34 years old,Male,Bachelor's Degree,3,2,4
Yes,25-34 years old,Male,Master's Degree,4,3,3
Yes,25-34 years old,Female,Bachelor's Degree,4,2,3
Yes,18 - 24 years old,Male,Bachelor's Degree,3,2,3
Yes,18 - 24 years old,Female,Master's Degree,4,3,4
Yes,18 - 24 years old,Male,Master's Degree,3,4,4
Yes,18 - 24 years old,Female,Master's Degree,4,3,3
Yes,25-34 years old,Female,Master's Degree,3,4,4
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,4
Yes,18 - 24 years old,Female,Bachelor's Degree,4,4,4
Yes,18 - 24 years old,Female,Master's Degree,3,4,4
Yes,18 - 24 years old,Male,Bachelor's Degree,4,3,4
Yes,18 - 24 years old,Female,Bachelor's Degree,3,4,4
Yes,18 - 24 years old,Female,Master's Degree,3,4,3
Yes,25-34 years old,Female,Master's Degree,4,4,2
Yes,25-34 years old,Female,Master's Degree,3,3,4
Yes,18 - 24 years old,Female,Master's Degree,4,4,4
Yes,25-34 years old,Male,Master's Degree,3,4,3
Yes,18 - 24 years old,Female,Master's Degree,3,3,3
Yes,18 - 24 years old,Female,Master's Degree,4,3,3
Yes,18 - 24 years old,Female,Bachelor's Degree,2,4,3
